2012-06-11 14:44:57 status unpacked libtext-wrapi18n-perl 0.06-7
2012-06-11 14:44:57 upgrade mawk 1.3.3-15 1.3.3-15
2012-06-11 14:44:57 status half-configured mawk 1.3.3-15
2012-06-11 14:44:57 status unpacked mawk 1.3.3-15
2012-06-11 14:44:57 status half-installed mawk 1.3.3-15
2012-06-11 14:44:57 status half-installed mawk 1.3.3-15
2012-06-11 14:44:57 status unpacked mawk 1.3.3-15
2012-06-11 14:44:57 status unpacked mawk 1.3.3-15
2012-06-11 14:44:57 install libncurses5 <none> 5.7+20100313-5
2012-06-11 14:44:57 status half-installed libncurses5 5.7+20100313-5
2012-06-11 14:44:57 status unpacked libncurses5 5.7+20100313-5
2012-06-11 14:44:57 status unpacked libncurses5 5.7+20100313-5
2012-06-11 14:44:57 install ncurses-base <none> 5.7+20100313-5
2012-06-11 14:44:57 status half-installed ncurses-base 5.7+20100313-5
2012-06-11 14:44:57 status unpacked ncurses-base 5.7+20100313-5
2012-06-11 14:44:57 status unpacked ncurses-base 5.7+20100313-5
2012-06-11 14:44:57 install ncurses-bin <none> 5.7+20100313-5
2012-06-11 14:44:57 status half-installed ncurses-bin 5.7+20100313-5
2012-06-11 14:44:57 status unpacked ncurses-bin 5.7+20100313-5
2012-06-11 14:44:57 status unpacked ncurses-bin 5.7+20100313-5
2012-06-11 14:44:57 install libpam-modules <none> 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 status half-installed libpam-modules 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 install libpam-runtime <none> 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 status half-installed libpam-runtime 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 install libpam0g <none> 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 status half-installed libpam0g 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 status unpacked libpam0g 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 status unpacked libpam0g 1.1.1-6.1+squeeze1
2012-06-11 14:44:57 upgrade perl-base 5.10.1-17squeeze3 5.10.1-17squeeze3
2012-06-11 14:44:57 status half-configured perl-base 5.10.1-17squeeze3
2012-06-11 14:44:57 status unpacked perl-base 5.10.1-17squeeze3
2012-06-11 14:44:57 status half-installed perl-base 5.10.1-17squeeze3
2012-06-11 14:44:57 status half-installed perl-base 5.10.1-17squeeze3
2012-06-11 14:44:57 status unpacked perl-base 5.10.1-17squeeze3
